record_id,production_date,timestamp,production_line,product_code,operator_id,attenuation_db_km,core_diameter_um,tensile_strength_mpa,temperature_c,draw_speed_m_min,throughput_m,defect_flag,_injected_issue,_row_index,_issues
9c6de490-f6cf-41f5-a31a-f5b121a79411,2026-06-06,2026-06-06T08:55:45,LINE-A,SMF-28,OP-103,0.1853,4.109,866.5,22.83,1159.8,3286.0,0,out_of_range_low,97,out_of_range_core_diameter_um; 
72a3db37-d76b-49b3-b5e5-cbe3eeacbeec,2026-06-06,2026-06-06T13:27:27,LINE-C,DSF-1550,OP-102,0.2493,8.283,767.6,19.07,870.9,-7.0,0,negative_throughput,106,negative_throughput; 
624e5b1a-b213-4774-b0a1-3036a65cda29,2026-06-06,2026-06-06T10:12:42,LINE-A,DSF-1550,OP-104,0.2816,8.403,796.8,19.04,1059.3,-451.0,0,negative_throughput,122,negative_throughput; 
b1b05855-8112-43f1-95ce-71cf69cf3ba1,2026-06-06,2026-06-06T10:45:00,LINE-B,DSF-1550,OP-104,0.2054,8.462,887.5,21.02,1050.4,-56.0,0,negative_throughput,125,negative_throughput; 
764fbd57-ae41-41e1-b87b-16aaac69b890,2026-06-06,2026-06-06T10:40:15,LINE-C,OM4-50,OP-104,0.2092,8.989,757.2,18.93,1005.8,1507.0,0,,139,duplicate_record_id; 
c395c22b-149c-4f31-9094-018084bdef47,2026-06-06,2026-06-06T13:06:33,LINE-B,OM4-50,,0.2726,9.158,740.0,23.89,1113.7,1738.0,0,missing_operator,141,missing_operator_id; 
8bffd1fd-cb8e-4c3b-a300-135d1cec347c,2026-06-06,2026-06-06T08:23:27,LINE-B,OM3-50,OP-102,0.342,6.021,741.4,24.69,1161.1,639.0,1,out_of_range_low,166,out_of_range_core_diameter_um; 
c2712bde-f287-4a27-9b18-2668e4676895,2026-06-06,2026-06-06T07:19:48,LINE-C,,OP-101,0.2922,9.172,880.3,18.46,1180.0,4204.0,0,null_product,182,missing_product_code; 
cc803220-39d4-4506-a8dd-f66c627cb44f,2026-06-06,2026-06-06T12:41:51,LINE-B,,OP-103,0.2056,8.425,703.4,23.99,997.8,3291.0,1,null_product,188,missing_product_code; 
eee0417d-7108-4c96-8501-adddd66c06cf,2026-06-06,2026-06-06T13:20:48,LINE-B,SMF-28,OP-103,0.2974,5.378,816.4,21.79,934.8,639.0,0,out_of_range_low,191,out_of_range_core_diameter_um; 
79b607e1-1c2b-4272-b0a6-6c0147efd724,2026-06-06,2026-06-06T09:00:30,LINE-C,DSF-1550,OP-104,0.5833,9.049,821.7,22.88,1036.6,1097.0,1,out_of_range_high,196,out_of_range_attenuation_db_km; 
846f6ee5-dc0c-4b0e-beee-c3ca7d16816a,2026-06-06,2026-06-06T11:41:03,LINE-C,DSF-1550,,0.2558,8.15,888.8,18.56,908.3,2423.0,0,missing_operator,203,missing_operator_id; 
ebdbf5d9-0432-41a7-bcca-dc14d85d1e73,2026-06-06,2026-06-06T07:33:06,LINE-A,OM4-50,OP-103,0.2936,9.296,791.2,21.85,946.4,-12.0,0,negative_throughput,206,negative_throughput; 
c19f3bd2-ce98-43a3-bdf0-9fa16ed05556,2026-06-06,2026-06-06T12:13:21,LINE-C,OM4-50,OP-104,0.1972,6.333,821.7,21.95,1154.9,457.0,1,out_of_range_low,217,out_of_range_core_diameter_um; 
8f1eb147-9b07-48b5-a36a-8e095714779b,2026-06-06,2026-06-06T09:18:33,LINE-C,OM4-50,OP-104,0.2461,8.367,719.3,24.17,927.6,-419.0,0,negative_throughput,229,negative_throughput; 
99a0fc82-64f3-489b-9b41-41b4ce277b3f,2026-06-06,2026-06-06T12:17:09,LINE-A,OM3-50,,0.299,8.949,721.3,23.35,855.8,3136.0,0,missing_operator,236,missing_operator_id; 
6f0606ec-4407-4168-bb7c-496185a19483,2026-06-06,2026-06-06T12:42:48,LINE-B,,OP-101,0.192,8.103,727.1,20.47,1199.8,1056.0,0,null_product,239,missing_product_code; 
45bcb261-c4a3-4adb-a648-b515a1793f41,2026-06-06,2026-06-06T06:36:06,LINE-C,OM3-50,OP-104,0.7742,8.277,802.3,21.11,914.6,724.0,0,out_of_range_high,264,out_of_range_attenuation_db_km; 
44230837-1287-4c40-8c9a-92316cd17159,2026-06-06,2026-06-06T08:54:48,LINE-A,OM4-50,OP-101,0.2965,9.028,839.7,19.42,961.7,3512.0,0,,312,duplicate_record_id; 
b40a451e-c00c-4e88-8e76-2a5b9a0a12d3,2026-06-06,2026-06-06T13:04:39,LINE-A,DSF-1550,OP-104,,9.326,757.0,20.07,1111.6,2767.0,0,null_sensor,323,duplicate_record_id; 
03119884-5382-42c1-b20f-f194274108c4,2026-06-06,2026-06-06T07:34:03,LINE-C,DSF-1550,OP-103,0.2025,8.663,766.8,22.29,916.9,-328.0,0,negative_throughput,324,negative_throughput; 
174f46aa-3cc1-44d1-ab5b-d12560fe5d85,2026-06-06,2026-06-06T13:39:48,LINE-B,DSF-1550,OP-104,0.7337,8.87,764.2,19.69,1006.9,658.0,0,out_of_range_high,327,out_of_range_attenuation_db_km; 
e33a0c5c-dd23-4043-87cb-ee1fdb55fba2,2026-06-06,2026-06-06T09:56:33,LINE-C,OM3-50,,0.2412,8.559,888.3,19.03,1064.5,4783.0,0,missing_operator,329,missing_operator_id; 
561a571b-f731-4663-bf0f-4f65fe5f0339,2026-06-06,2026-06-06T07:08:24,LINE-A,,OP-101,0.3017,9.122,882.4,23.13,936.7,4954.0,0,null_product,341,missing_product_code; 
13721fea-616a-49f3-b958-b12f1e9a8cdd,2026-06-06,2026-06-06T08:14:54,LINE-C,,OP-102,0.2875,8.323,728.4,22.29,1107.7,4201.0,0,null_product,347,missing_product_code; 
7be73928-43e5-4c7c-b783-1676ce954203,2026-06-06,2026-06-06T10:55:27,LINE-A,OM4-50,OP-101,0.3242,8.476,792.1,23.32,869.8,-351.0,0,negative_throughput,349,negative_throughput; 
541f3997-00b6-40be-ab68-06e12fd17358,2026-06-06,2026-06-06T06:43:42,LINE-B,SMF-28,OP-101,0.2356,8.458,858.1,21.5,1193.7,1361.0,0,,351,duplicate_record_id; 
ff6aac0a-9c2b-4cd3-a426-8fc0fde6e956,2026-06-06,2026-06-06T09:48:00,LINE-B,OM4-50,OP-104,0.1971,8.354,709.5,22.36,968.8,1973.0,0,,359,duplicate_record_id; 
e75403f1-969a-4632-954e-87979d82a62f,2026-06-06,2026-06-06T12:28:33,LINE-A,OM3-50,OP-101,0.548,9.107,789.2,22.46,1059.6,605.0,0,out_of_range_high,363,out_of_range_attenuation_db_km; 
691695c2-e6b9-4ed7-a265-f5a8a0e2f3bc,2026-06-06,2026-06-06T13:36:57,LINE-C,OM3-50,OP-104,0.256,6.338,722.5,21.6,1188.5,4343.0,0,out_of_range_low,371,out_of_range_core_diameter_um; 
16be4b80-ab0d-4689-9968-c9fa4ca6bc43,2026-06-06,2026-06-06T09:34:42,LINE-C,DSF-1550,OP-104,0.1947,8.703,862.0,19.94,1035.1,985.0,0,,372,duplicate_record_id; 
284de43f-ced2-4d8e-93b7-1b2aab46a10c,2026-06-06,2026-06-06T12:20:57,LINE-C,DSF-1550,OP-104,0.297,9.102,757.0,23.77,1087.8,1710.0,0,,374,duplicate_record_id; 
2021fa93-034c-4fec-a4f1-7f795c42d146,2026-06-06,2026-06-06T07:22:39,LINE-A,SMF-28,OP-104,0.7018,9.441,753.1,22.62,871.4,4220.0,0,out_of_range_high,380,out_of_range_attenuation_db_km; 
8e40a1e0-3f4b-420e-8181-0bb755941f4a,2026-06-06,2026-06-06T10:07:57,LINE-C,OM3-50,,0.2724,9.149,795.6,24.8,1054.5,358.0,0,missing_operator,386,missing_operator_id; 
a4402f45-66d4-42e6-b1ea-8f17029b2763,2026-06-06,2026-06-06T12:03:51,LINE-B,,OP-103,0.2677,8.895,730.0,19.87,848.5,864.0,0,null_product,396,missing_product_code; 
64b3c40d-687a-4bdc-914f-b12782f74b47,2026-06-06,2026-06-06T11:38:12,LINE-B,SMF-28,OP-102,0.2528,9.348,782.6,23.98,1191.6,-269.0,0,negative_throughput,412,negative_throughput; 
5ec17fbc-a613-4d42-8700-f8fc7299649a,2026-06-06,2026-06-06T06:12:21,LINE-A,DSF-1550,OP-101,0.247,9.413,822.4,19.89,1151.9,-227.0,0,negative_throughput,418,negative_throughput; 
f3de13eb-9ef2-4ed9-99b6-3a33448ef782,2026-06-06,2026-06-06T11:51:30,LINE-A,OM3-50,OP-103,0.312,8.038,893.1,24.41,1194.1,4953.0,0,,442,duplicate_record_id; 
89921be2-3745-4880-ae48-f0489e40ba5e,2026-06-06,2026-06-06T12:01:57,LINE-C,OM4-50,OP-101,0.2224,8.353,857.1,23.57,1063.5,-19.0,0,negative_throughput,443,negative_throughput; 
ee59d9e6-c9da-406a-91bc-79bb20fdb780,2026-06-06,2026-06-06T11:25:51,LINE-B,OM4-50,OP-101,0.1811,9.174,788.3,22.28,1052.3,-472.0,0,negative_throughput,455,negative_throughput; 
6cf842db-db9f-460e-8758-45e75cb8e9f7,2026-06-06,2026-06-06T07:03:39,LINE-B,OM4-50,OP-103,0.2364,8.232,773.7,24.0,1077.6,-98.0,0,negative_throughput,460,negative_throughput; 
ac12c85d-ec1f-44e5-a431-43bb3e088ac4,2026-06-06,2026-06-06T08:35:48,LINE-B,,OP-101,0.2674,9.112,772.7,18.42,1037.8,2010.0,0,null_product,462,missing_product_code; 
d8fce2c2-c32c-40ea-aa4c-b59833bf2cb7,2026-06-06,2026-06-06T10:52:36,LINE-C,,OP-104,0.2184,8.793,802.3,23.17,1054.0,4480.0,0,null_product,469,missing_product_code; 
a4402f45-66d4-42e6-b1ea-8f17029b2763,2026-06-06,2026-06-06T12:03:51,LINE-B,,OP-103,0.2677,8.895,730.0,19.87,848.5,864.0,0,null_product,482,missing_product_code; duplicate_record_id; 
dbc99ef0-c4cd-4b95-9888-edaf189f2614,2026-06-06,2026-06-06T06:28:30,LINE-B,,OP-103,0.2588,9.214,826.1,22.65,828.7,2119.0,0,null_product,494,missing_product_code; 
f19d1f13-e83d-4358-8bcf-b6be5fe49c31,2026-06-06,2026-06-06T10:23:09,LINE-A,,OP-102,0.3362,9.213,763.9,21.18,1069.5,2139.0,0,null_product,500,missing_product_code; 
3bc2ac1a-b613-4c15-8f3e-30ea038d6ba9,2026-06-06,2026-06-06T11:17:18,LINE-C,DSF-1550,OP-103,0.2825,8.066,824.2,20.05,1101.8,-490.0,1,negative_throughput,506,negative_throughput; 
