attenuation_db_km,core_diameter_um,tensile_strength_mpa,temperature_c,draw_speed_m_min,throughput_m,defect_flag,lag1_attenuation_db_km,lag1_core_diameter_um,lag1_tensile_strength_mpa,lag1_temperature_c,lag1_draw_speed_m_min,lag1_throughput_m,roll10_mean_attenuation_db_km,roll10_std_attenuation_db_km,roll10_mean_temperature_c,roll10_std_temperature_c,roll10_mean_draw_speed_m_min,roll10_std_draw_speed_m_min,attenuation_trend_up,line_LINE-A,line_LINE-B,line_LINE-C,product_DSF-1550,product_OM3-50,product_OM4-50,product_SMF-28,shift_day,grade_A,grade_B,grade_C
0.1897,9.116,737.6,18.08,1163.3,1246.0,0,0.2235,9.394,886.0,24.84,975.9,3700.0,0.2292,0.0345,21.587,2.2819,978.01,127.791,0,True,False,False,True,False,False,False,True,True,False,False
0.2233,8.891,895.1,23.24,1102.6,3073.0,0,0.1897,9.116,737.6,18.08,1163.3,1246.0,0.2307,0.0338,21.889,2.2807,993.2,133.1016,0,True,False,False,True,False,False,False,True,False,True,False
0.1858,8.231,879.7,23.62,965.0,3184.0,0,0.2233,8.891,895.1,23.24,1102.6,3073.0,0.2268,0.0367,21.965,2.3288,978.67,126.6737,0,True,False,False,True,False,False,False,True,True,False,False
0.3137,9.151,843.9,20.74,1029.7,934.0,0,0.1858,8.231,879.7,23.62,965.0,3184.0,0.2388,0.0436,22.175,2.0767,1000.29,113.0706,1,True,False,False,True,False,False,False,True,False,False,True
0.2735,9.284,825.1,18.61,1055.1,2582.0,0,0.3137,9.151,843.9,20.74,1029.7,934.0,0.2363,0.0404,21.825,2.364,991.12,103.1519,1,True,False,False,True,False,False,False,True,False,True,False
0.2556,8.101,798.8,19.53,1164.5,4479.0,0,0.2735,9.284,825.1,18.61,1055.1,2582.0,0.2402,0.0402,21.559,2.4658,1024.71,98.9544,1,True,False,False,False,False,True,False,True,False,True,False
0.3126,8.662,831.1,24.05,905.6,2079.0,0,0.2556,8.101,798.8,19.53,1164.5,4479.0,0.244,0.0453,21.491,2.3764,1014.36,105.935,1,True,False,False,True,False,False,False,True,False,False,True
0.3368,9.221,842.7,19.9,1155.4,580.0,0,0.3126,8.662,831.1,24.05,905.6,2079.0,0.2532,0.054,21.435,2.4098,1039.41,106.7894,1,True,False,False,True,False,False,False,True,False,False,True
0.2791,8.316,724.5,19.23,1080.8,1621.0,0,0.3368,9.221,842.7,19.9,1155.4,580.0,0.2594,0.053,21.184,2.5034,1059.79,90.5652,0,True,False,False,True,False,False,False,True,False,True,False
0.2403,8.936,797.1,18.53,1164.9,1656.0,0,0.2791,8.316,724.5,19.23,1080.8,1621.0,0.261,0.0519,20.553,2.2632,1078.69,90.8338,0,True,False,False,False,False,True,False,True,False,True,False
0.3275,9.105,734.5,24.34,831.8,325.0,0,0.2403,8.936,797.1,18.53,1164.9,1656.0,0.2748,0.0491,21.179,2.3665,1045.54,114.0485,1,True,False,False,False,False,False,True,True,False,False,True
0.2376,9.211,753.6,20.72,1075.3,586.0,0,0.3275,9.105,734.5,24.34,831.8,325.0,0.2762,0.0476,20.927,2.2542,1042.81,112.8514,0,True,False,False,False,True,False,False,True,False,True,False
0.2694,8.274,848.6,23.97,1037.6,2424.0,0,0.2376,9.211,753.6,20.72,1075.3,586.0,0.2846,0.0359,20.962,2.3028,1050.07,109.5772,0,True,False,False,True,False,False,False,True,False,True,False
0.2692,8.764,708.1,18.75,998.2,4033.0,0,0.2694,8.274,848.6,23.97,1037.6,2424.0,0.2802,0.0346,20.763,2.4077,1046.92,110.6751,0,True,False,False,True,False,False,False,True,False,True,False
0.2156,9.155,704.8,21.36,969.8,4106.0,0,0.2692,8.764,708.1,18.75,998.2,4033.0,0.2744,0.0402,21.038,2.2886,1038.39,113.2322,0,True,False,False,True,False,False,False,True,True,False,False
0.2889,9.342,785.6,19.71,1178.4,382.0,0,0.2156,9.155,704.8,21.36,969.8,4106.0,0.2777,0.0399,21.056,2.2761,1039.78,115.0235,0,True,False,False,False,True,False,False,True,False,False,True
0.2573,8.215,816.0,24.43,1064.5,1931.0,1,0.2889,9.342,785.6,19.71,1178.4,382.0,0.2722,0.0383,21.094,2.3341,1055.67,104.9632,1,True,False,False,False,False,True,False,True,False,True,False
0.2259,9.189,796.8,23.94,1008.6,448.0,1,0.2573,8.215,816.0,24.43,1064.5,1931.0,0.2611,0.0332,21.498,2.4512,1040.99,99.5936,0,True,False,False,False,True,False,False,True,False,True,False
0.1939,8.345,893.6,18.56,1070.2,4841.0,0,0.2259,9.189,796.8,23.94,1008.6,448.0,0.2526,0.0386,21.431,2.528,1039.93,99.1784,0,True,False,False,False,True,False,False,True,True,False,False
0.2975,9.483,708.1,18.22,1084.9,2886.0,0,0.1939,8.345,893.6,18.56,1070.2,4841.0,0.2583,0.0408,21.4,2.5691,1031.93,90.8552,1,True,False,False,False,False,False,True,True,False,False,True
0.2384,8.627,735.7,20.66,1129.4,3938.0,0,0.2975,9.483,708.1,18.22,1084.9,2886.0,0.2494,0.0329,21.032,2.3559,1061.69,62.2573,0,True,False,False,False,True,False,False,True,False,True,False
0.3392,9.157,779.6,20.07,858.3,3621.0,0,0.2384,8.627,735.7,20.66,1129.4,3938.0,0.2595,0.043,20.967,2.3743,1039.99,89.0425,1,True,False,False,False,False,False,True,True,False,False,True
0.2676,8.668,791.9,23.25,1092.1,4688.0,0,0.3392,9.157,779.6,20.07,858.3,3621.0,0.2593,0.043,20.895,2.2823,1045.44,90.5353,1,True,False,False,False,True,False,False,True,False,True,False
0.2953,9.334,822.6,24.41,1184.9,339.0,0,0.2676,8.668,791.9,23.25,1092.1,4688.0,0.262,0.0444,21.461,2.3905,1064.11,98.6022,1,True,False,False,False,False,True,False,True,False,False,True
0.3117,8.915,847.5,22.69,971.1,4190.0,0,0.2953,9.334,822.6,24.41,1184.9,339.0,0.2716,0.0437,21.594,2.4211,1064.24,98.4648,1,True,False,False,False,False,False,True,True,False,False,True
0.1984,9.165,742.8,20.49,1114.7,3146.0,0,0.3117,8.915,847.5,22.69,971.1,4190.0,0.2625,0.0488,21.672,2.3655,1057.87,92.1146,0,True,False,False,False,True,False,False,True,True,False,False
0.2492,8.546,810.0,24.27,1038.6,4025.0,0,0.1984,9.165,742.8,20.49,1114.7,3146.0,0.2617,0.0489,21.656,2.3453,1055.28,92.2714,0,True,False,False,True,False,False,False,True,False,True,False
0.202,8.048,863.9,22.84,1195.5,412.0,0,0.2492,8.546,810.0,24.27,1038.6,4025.0,0.2593,0.0514,21.546,2.2501,1073.97,100.3414,0,True,False,False,True,False,False,False,True,True,False,False
0.2792,8.773,726.4,18.2,1098.3,2724.0,1,0.202,8.048,863.9,22.84,1195.5,412.0,0.2679,0.0461,21.51,2.3054,1076.78,100.6172,0,True,False,False,False,False,True,False,True,False,True,False
0.2788,8.815,773.4,20.32,1130.7,676.0,0,0.2792,8.773,726.4,18.2,1098.3,2724.0,0.266,0.0452,21.72,2.0544,1081.36,102.0599,0,True,False,False,False,False,False,True,True,False,True,False
0.2965,9.028,839.7,19.42,961.7,3512.0,0,0.2788,8.815,773.4,20.32,1130.7,676.0,0.2718,0.045,21.596,2.1602,1064.59,106.9498,1,True,False,False,False,False,True,False,True,False,False,True
0.3072,9.415,816.1,20.38,1007.3,338.0,0,0.2965,9.028,839.7,19.42,961.7,3512.0,0.2686,0.0405,21.627,2.1379,1079.49,82.631,1,True,False,False,False,True,False,False,True,False,False,True
0.308,8.365,707.2,22.34,906.1,4420.0,0,0.3072,9.415,816.1,20.38,1007.3,338.0,0.2726,0.0424,21.536,2.0798,1060.89,98.8244,1,True,False,False,False,False,True,False,True,False,False,True
0.315,8.169,815.2,20.22,1026.8,1901.0,1,0.308,8.365,707.2,22.34,906.1,4420.0,0.2746,0.044,21.117,1.8453,1045.08,88.9322,1,True,False,False,False,True,False,False,True,False,False,True
0.1815,8.802,804.8,18.35,1024.8,3605.0,0,0.315,8.169,815.2,20.22,1026.8,1901.0,0.2616,0.0506,20.683,1.942,1050.45,85.5247,0,True,False,False,False,False,False,True,True,True,False,False
0.3181,8.987,873.3,20.3,1034.4,1499.0,0,0.1815,8.802,804.8,18.35,1024.8,3605.0,0.2736,0.0481,20.664,1.9451,1042.42,82.5396,1,True,False,False,True,False,False,False,True,False,False,True
0.2105,8.648,843.8,18.28,969.6,1321.0,0,0.3181,8.987,873.3,20.3,1034.4,1499.0,0.2697,0.0517,20.065,1.6035,1035.52,85.7173,0,True,False,False,False,False,True,False,True,True,False,False
0.2484,8.225,782.7,20.62,828.8,3257.0,0,0.2105,8.648,843.8,18.28,969.6,1321.0,0.2743,0.0468,19.843,1.302,998.85,88.0781,0,True,False,False,True,False,False,False,True,False,True,False
0.3412,8.257,895.0,23.23,971.8,1801.0,0,0.2484,8.225,782.7,20.62,828.8,3257.0,0.2805,0.0514,20.346,1.5455,986.2,81.0082,1,True,False,False,False,True,False,False,True,False,False,True
0.2383,9.451,813.8,22.52,1030.7,2514.0,0,0.3412,8.257,895.0,23.23,971.8,1801.0,0.2765,0.0531,20.566,1.6911,976.2,65.9638,1,True,False,False,False,True,False,False,True,False,True,False
0.2504,8.92,780.2,22.15,907.7,1520.0,0,0.2383,9.451,813.8,22.52,1030.7,2514.0,0.2719,0.0532,20.839,1.7059,970.8,69.4033,0,True,False,False,True,False,False,False,True,False,True,False
0.2709,9.438,802.6,21.24,887.6,2711.0,0,0.2504,8.92,780.2,22.15,907.7,1520.0,0.2682,0.0517,20.925,1.7018,958.83,72.6548,1,True,False,False,True,False,False,False,True,False,True,False
0.1976,9.208,892.2,21.66,1035.2,2008.0,0,0.2709,9.438,802.6,21.24,887.6,2711.0,0.2572,0.054,20.857,1.6519,971.74,73.7065,0,True,False,False,False,False,True,False,True,True,False,False
0.2851,8.891,719.0,20.4,1143.7,2188.0,0,0.1976,9.208,892.2,21.66,1035.2,2008.0,0.2542,0.0512,20.875,1.6451,983.43,90.7168,0,True,False,False,False,True,False,False,True,False,False,True
0.1965,8.421,774.6,19.53,1129.8,2836.0,0,0.2851,8.891,719.0,20.4,1143.7,2188.0,0.2557,0.049,20.993,1.4777,993.93,101.4758,0,True,False,False,False,False,False,True,True,True,False,False
0.2063,8.966,870.6,24.12,986.7,654.0,0,0.1965,8.421,774.6,19.53,1129.8,2836.0,0.2445,0.0458,21.375,1.7477,989.16,100.4783,0,True,False,False,True,False,False,False,True,True,False,False
0.3205,9.3,705.1,19.98,908.6,3677.0,0,0.2063,8.966,870.6,24.12,986.7,654.0,0.2555,0.0498,21.545,1.4746,983.06,103.6008,1,True,False,False,True,False,False,False,True,False,False,True
0.2031,8.641,808.4,23.19,916.3,3025.0,0,0.3205,9.3,705.1,19.98,908.6,3677.0,0.251,0.0525,21.802,1.5187,991.81,92.1914,1,True,False,False,False,False,False,True,True,True,False,False
0.3499,9.165,811.4,22.25,1085.4,4222.0,0,0.2031,8.641,808.4,23.19,916.3,3025.0,0.2519,0.0542,21.704,1.4462,1003.17,96.3567,1,True,False,False,True,False,False,False,True,False,False,True
0.2932,9.274,765.7,21.15,902.0,4499.0,0,0.3499,9.165,811.4,22.25,1085.4,4222.0,0.2574,0.0554,21.567,1.4251,990.3,100.7652,1,True,False,False,False,False,False,True,True,False,False,True
0.2878,8.341,869.1,19.16,851.2,824.0,1,0.2932,9.274,765.7,21.15,902.0,4499.0,0.2611,0.0562,21.268,1.5929,984.65,107.2844,1,True,False,False,True,False,False,False,True,False,False,True
0.3093,8.796,845.3,20.43,1034.3,4595.0,0,0.2878,8.341,869.1,19.16,851.2,824.0,0.2649,0.0582,21.187,1.615,999.32,102.4607,0,True,False,False,False,True,False,False,True,False,False,True
0.332,9.327,841.0,18.86,1153.3,2482.0,0,0.3093,8.796,845.3,20.43,1034.3,4595.0,0.2784,0.0564,20.907,1.7601,1011.13,113.2899,1,True,False,False,False,False,True,False,True,False,False,True
0.2998,9.489,767.9,21.29,1053.4,778.0,0,0.332,9.327,841.0,18.86,1153.3,2482.0,0.2798,0.0568,20.996,1.7541,1002.1,104.8322,0,True,False,False,True,False,False,False,True,False,False,True
0.1887,9.152,821.9,18.93,1122.5,2091.0,0,0.2998,9.489,767.9,21.29,1053.4,778.0,0.2791,0.0581,20.936,1.8189,1001.37,103.8651,0,True,False,False,True,False,False,False,True,True,False,False
0.202,9.346,732.9,21.37,988.1,4730.0,0,0.1887,9.152,821.9,18.93,1122.5,2091.0,0.2786,0.0587,20.661,1.4556,1001.51,103.844,0,True,False,False,False,False,True,False,True,True,False,False
0.2137,9.483,812.5,18.3,1083.6,3941.0,0,0.202,9.346,732.9,21.37,988.1,4730.0,0.268,0.06,20.493,1.6295,1019.01,101.1579,0,True,False,False,False,True,False,False,True,True,False,False
0.2094,8.573,741.3,18.73,1133.3,4365.0,1,0.2137,9.483,812.5,18.3,1083.6,3941.0,0.2686,0.0592,20.047,1.404,1040.71,99.9445,0,True,False,False,False,False,True,False,True,True,False,False
0.2626,8.094,799.6,24.72,935.9,1290.0,0,0.2094,8.573,741.3,18.73,1133.3,4365.0,0.2599,0.0519,20.294,1.9469,1025.76,103.6303,0,True,False,False,False,True,False,False,True,False,True,False
0.2111,8.487,773.0,20.48,889.3,3960.0,0,0.2626,8.094,799.6,24.72,935.9,1290.0,0.2516,0.0525,20.227,1.9256,1024.49,105.3786,1,True,False,False,False,False,True,False,True,True,False,False
0.2823,9.149,835.6,20.06,1091.3,1220.0,0,0.2111,8.487,773.0,20.48,889.3,3960.0,0.2511,0.0521,20.317,1.8909,1048.5,87.3124,1,True,False,False,True,False,False,False,True,False,False,True
0.2537,8.819,866.1,19.24,1040.5,3169.0,0,0.2823,9.149,835.6,20.06,1091.3,1220.0,0.2455,0.048,20.198,1.9203,1049.12,87.2224,1,True,False,False,True,False,False,False,True,False,True,False
0.2353,8.478,712.0,19.18,1108.4,3880.0,0,0.2537,8.819,866.1,19.24,1040.5,3169.0,0.2359,0.0372,20.23,1.898,1044.63,82.2791,1,True,False,False,False,True,False,False,True,False,True,False
0.3012,8.555,759.3,23.67,1133.0,4967.0,0,0.2353,8.478,712.0,19.18,1108.4,3880.0,0.236,0.0375,20.468,2.1747,1052.59,86.9402,1,True,False,False,False,False,False,True,True,False,False,True
0.2655,9.05,767.1,18.69,980.7,409.0,0,0.3012,8.555,759.3,23.67,1133.0,4967.0,0.2437,0.0344,20.444,2.1948,1038.41,85.8276,1,True,False,False,False,False,True,False,True,False,True,False
0.2072,9.462,760.8,22.92,841.2,4385.0,0,0.2655,9.05,767.1,18.69,980.7,409.0,0.2442,0.0338,20.599,2.3187,1023.72,105.6726,0,True,False,False,False,False,False,True,True,True,False,False
0.2339,8.042,742.4,20.46,1067.3,3561.0,0,0.2072,9.462,760.8,22.92,841.2,4385.0,0.2462,0.0323,20.815,2.1771,1022.09,104.7681,0,True,False,False,False,False,False,True,True,False,True,False
0.223,8.544,834.3,20.3,1043.0,3117.0,0,0.2339,8.042,742.4,20.46,1067.3,3561.0,0.2476,0.0309,20.972,2.0636,1013.06,97.776,0,True,False,False,True,False,False,False,True,False,True,False
0.3404,8.49,873.3,20.76,957.8,3067.0,0,0.223,8.544,834.3,20.3,1043.0,3117.0,0.2554,0.0426,20.576,1.5901,1015.25,96.0864,1,True,False,False,False,False,True,False,True,False,False,True
0.2359,8.754,801.5,22.63,988.6,4191.0,0,0.3404,8.49,873.3,20.76,957.8,3067.0,0.2578,0.0404,20.791,1.7161,1025.18,86.2517,0,True,False,False,False,False,True,False,True,False,True,False
0.2212,8.411,816.2,18.73,1199.8,1490.0,0,0.2359,8.754,801.5,22.63,988.6,4191.0,0.2517,0.0409,20.658,1.827,1036.03,101.0485,1,True,False,False,False,False,True,False,True,False,True,False
0.2068,9.159,768.2,20.0,1134.9,2781.0,0,0.2212,8.411,816.2,18.73,1199.8,1490.0,0.247,0.0433,20.734,1.7766,1045.47,105.8098,0,True,False,False,True,False,False,False,True,True,False,False
0.3482,9.363,788.0,22.78,1161.7,2246.0,0,0.2068,9.159,768.2,20.0,1134.9,2781.0,0.2583,0.0534,21.094,1.7914,1050.8,110.5675,1,True,False,False,False,False,True,False,True,False,False,True
0.2751,8.553,715.6,21.7,1121.6,3934.0,0,0.3482,9.363,788.0,22.78,1161.7,2246.0,0.2557,0.0517,20.897,1.5714,1049.66,109.681,0,True,False,False,True,False,False,False,True,False,True,False
0.282,9.343,758.8,20.32,1166.2,1822.0,0,0.2751,8.553,715.6,21.7,1121.6,3934.0,0.2574,0.0523,21.06,1.3913,1068.21,112.3756,1,True,False,False,False,False,False,True,True,False,False,True
0.2882,9.042,726.3,21.71,1088.4,4108.0,0,0.282,9.343,758.8,20.32,1166.2,1822.0,0.2655,0.0499,20.939,1.2577,1092.93,79.1747,1,True,False,False,False,False,True,False,True,False,False,True
0.2907,8.782,866.4,24.53,969.1,2624.0,0,0.2882,9.042,726.3,21.71,1088.4,4108.0,0.2712,0.0491,21.346,1.6748,1083.11,88.2738,1,True,False,False,False,True,False,False,True,False,False,True
0.3216,9.26,792.7,23.99,882.4,4651.0,0,0.2907,8.782,866.4,24.53,969.1,2624.0,0.281,0.0483,21.715,1.8191,1067.05,108.6415,0,True,False,False,False,False,True,False,True,False,False,True
0.2458,8.223,735.7,18.59,978.8,2668.0,0,0.3216,9.26,792.7,23.99,882.4,4651.0,0.2716,0.0445,21.498,2.0592,1069.15,106.4765,0,True,False,False,False,False,False,True,True,False,True,False
0.1864,8.754,771.1,22.89,930.6,1778.0,0,0.2458,8.223,735.7,18.59,978.8,2668.0,0.2666,0.0511,21.524,2.0767,1063.35,112.7468,0,True,False,False,False,True,False,False,True,True,False,False
0.3033,8.238,887.8,19.86,868.2,1674.0,0,0.1864,8.754,771.1,22.89,930.6,1778.0,0.2748,0.0496,21.637,1.9336,1030.19,116.8454,1,True,False,False,False,True,False,False,True,False,False,True
0.3375,8.571,711.3,18.31,1102.5,4536.0,0,0.3033,8.238,887.8,19.86,868.2,1674.0,0.2879,0.0468,21.468,2.1538,1026.95,114.0347,1,True,False,False,False,False,True,False,True,False,False,True
0.3001,8.722,725.0,22.33,1146.8,3592.0,0,0.3375,8.571,711.3,18.31,1102.5,4536.0,0.2831,0.0422,21.423,2.1279,1025.46,112.1604,0,True,False,False,False,True,False,False,True,False,False,True
0.2167,8.014,856.7,20.57,968.0,1225.0,0,0.3001,8.722,725.0,22.33,1146.8,3592.0,0.2772,0.0472,21.31,2.1416,1010.1,107.9707,0,True,False,False,False,False,True,False,True,True,False,False
0.2182,9.37,787.9,24.5,963.6,3465.0,0,0.2167,8.014,856.7,20.57,968.0,1225.0,0.2708,0.0506,21.728,2.3268,989.84,93.4579,1,True,False,False,False,False,False,True,True,True,False,False
0.3303,8.438,827.0,18.97,938.1,3892.0,0,0.2182,9.37,787.9,24.5,963.6,3465.0,0.2751,0.0539,21.454,2.4851,974.81,87.7581,1,True,False,False,True,False,False,False,True,False,False,True
0.1942,8.897,736.3,20.33,978.3,469.0,0,0.3303,8.438,827.0,18.97,938.1,3892.0,0.2654,0.0592,21.034,2.2514,975.73,87.7398,0,True,False,False,False,False,True,False,True,True,False,False
0.3277,8.239,893.5,21.33,1092.1,4276.0,0,0.1942,8.897,736.3,20.33,978.3,469.0,0.266,0.0598,20.768,2.0072,996.7,88.0142,1,True,False,False,True,False,False,False,True,False,False,True
0.3369,9.486,845.8,21.48,899.0,4128.0,0,0.3277,8.239,893.5,21.33,1092.1,4276.0,0.2751,0.0633,21.057,1.8615,988.72,93.2777,1,True,False,False,False,True,False,False,True,False,False,True
0.0,9.171,737.2,22.22,1098.8,1488.0,0,0.3369,9.486,845.8,21.48,899.0,4128.0,0.285,0.0584,20.99,1.7993,1005.54,96.734,0,True,False,False,True,False,False,False,True,False,False,True
0.2242,9.077,727.6,19.04,991.6,787.0,0,0.0,9.171,737.2,22.22,1098.8,1488.0,0.2762,0.0612,20.908,1.8736,1017.88,84.3448,0,True,False,False,False,False,True,False,True,False,True,False
0.3059,9.336,728.1,22.39,1053.4,1873.0,0,0.2242,9.077,727.6,19.04,991.6,787.0,0.2727,0.058,21.316,1.6792,1012.97,80.1987,1,True,False,False,False,True,False,False,True,False,False,True
0.2719,9.033,895.1,20.13,916.0,3483.0,0,0.3059,9.336,728.1,22.39,1053.4,1873.0,0.2696,0.0571,21.096,1.6757,989.89,69.9621,0,True,False,False,False,True,False,False,True,False,True,False
0.312,8.038,893.1,24.41,1194.1,4953.0,0,0.2719,9.033,895.1,20.13,916.0,3483.0,0.2801,0.0549,21.48,1.958,1012.5,94.3768,0,True,False,False,False,True,False,False,True,False,False,True
0.2244,8.051,805.9,22.32,857.5,2360.0,0,0.312,8.038,893.1,24.41,1194.1,4953.0,0.2808,0.054,21.262,1.6869,1001.89,105.7622,0,True,False,False,False,False,True,False,True,False,True,False
0.2829,9.283,794.3,19.71,1110.9,3386.0,0,0.2244,8.051,805.9,22.32,857.5,2360.0,0.2756,0.0508,21.336,1.5886,1019.17,108.2686,1,True,False,False,True,False,False,False,True,False,False,True
0.3315,9.241,753.0,23.85,1169.7,715.0,0,0.2829,9.283,794.3,19.71,1110.9,3386.0,0.2908,0.0434,21.688,1.725,1038.31,116.821,1,True,False,False,True,False,False,False,True,False,False,True
0.185,8.323,711.6,20.8,1005.3,3158.0,0,0.3315,9.241,753.0,23.85,1169.7,715.0,0.275,0.0532,21.635,1.7453,1029.63,115.5986,0,True,False,False,False,False,False,True,True,True,False,False
0.3455,9.489,832.1,23.5,935.0,380.0,0,0.185,8.323,711.6,20.8,1005.3,3158.0,0.2759,0.0545,21.837,1.8397,1033.23,111.5688,1,True,False,False,False,False,True,False,True,False,False,True
